Unique_Identifier,Flight Region,Tile,Gini Structure Area,Corrected Gini Structure Area,Sample Size Structure.x,Mean Structure Area,Range Structure Area,Std.Deviation Structure Area,Co. of Variation Structure Area,Min. Structure Area,Lower Quantile Structure Area,Median Structure Area,Upper Quantile Structure Area,Max. Structure Area,Lower Gini Structure Area,Higher Gini Structure Area,Gini Patio Group Area,Corrected Gini Patio Group Area,Sample Size Patio Group.x,Mean Patio Group Area,Range Patio Group Area,Std. Deviation Patio Group Area,Co. of Variation Patio Group Area,Min. Patio Group Area,Lower Quantile Patio Group Area,Median Patio Group Area,Upper Quantile Patio Group Area,Max Patio Group Area,Lower Gini Patio Group Area,Higher Gini Patio Group Area,Gini Patio Group Structure Area,Corrected Gini Patio Group Structure Area,Sample Size Patio Group Structure,Mean Patio Group Structure Area,Range Patio Group Structure Area,Std. Deviation Patio Group Structure Area,Co. of Variation Patio Group Structure Area,Min. Patio Group Structure Area,Lower Quantile Patio Group Structure Area,Median Patio Group Structure Area,Upper Quantile Patio Group Structure Area,Max. Patio Group Structure Area,Lower Gini Patio Group Structure Area,Higher Gini Patio Group Structure Area,Gini Structure Volume,Corrected Gini Structure Volume,Sample Size Structure.y,Mean Structure Volume,Range Structure Volume,Std. Deviation Structure Volume,Co. of Variation Structure Volume,Min. Structure Volume,Lower Quantile Structure Volume,Median Structure Volume,Upper Quantile Structure Volume,Max. Structure Volume,Lower Gini Structure Volume,Higher Gini Structure Volume,Gini Patio Group Volume,Corrected Gini Patio Group Volume,Sample Size Patio Group.y,Mean Patio Group Volume,Range Patio Group Volume,Std. Deviation Patio Group Volume,Co. of Variation Patio Group Volume,Min. Patio Group Volume,Lower Quantile Patio Group Volume,Median Patio Group Volume,Upper Quantile Patio Group Volume,Max. Patio Group Volume,Lower Gini Patio Group Volume,Higher Gini Patio Group Volume,Gini Patio Group Structure Volume,Corrected Gini Patio Group Structure Volume,Sample Size Patio Group,Mean Patio Group Structure Volume,Range Patio Group Structure Volume,Std. Deviation Patio Group Structure Volume,Co. of Variation Patio Group Structure Volume,Min. Patio Group Structure Volume,Lower Quantile Patio Group Structure Volume,Median Patio Group Structure Volume,Upper Quantile Patio Group Structure Volume,Max Patio Group Structure Volume,Lower Gini Patio Group Structure Volume,Higher Gini Patio Group Structure Volume
10474,AMIGACarb_Chiap_Campeche_Apr2013,s474,0.3718016,0.380063857,46,93.56995546,241.9031697,67.75615385,0.724122968,27.64109515,42.04030641,65.49469611,126.2268621,269.5442649,0.340753198,0.437656226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58081585,0.593722869,46,52.93435802,245.6529236,65.13417226,1.230470619,1.398956299,13.8108902,22.30331421,74.48078918,247.0518799,0.54039616,0.664400241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10475,AMIGACarb_Chiap_Campeche_Apr2013,s475,0.270928648,0.28598024,19,46.76706069,111.8251362,26.90301785,0.575255692,21.87841952,30.07571663,39.94947338,46.96554309,133.7035557,0.20464738,0.385695786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458579113,0.48405573,19,13.70856998,77.0925293,16.82847943,1.22758825,1.795288086,6.570251465,10.36560059,13.16992188,78.88781738,0.295685639,0.655300194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10476,AMIGACarb_Chiap_Campeche_Apr2013,s476,0.291636635,0.311079077,16,69.05857483,122.1770362,37.93420225,0.549304736,24.93267789,42.38432615,64.45019162,83.34435862,147.1097141,0.247644215,0.396487702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442384446,0.471876742,16,40.60643768,142.1929932,39.39112579,0.970070955,5.112121582,18.37594604,33.2557373,37.89286804,147.3051147,0.340476242,0.626476256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10481,AMIGACarb_Chiap_Campeche_Apr2013,s481,0.321548753,0.331292655,34,75.73446572,213.8543448,47.15777967,0.622672639,20.2412924,42.70749917,66.44659851,89.17097524,234.0956372,0.268714608,0.419991602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568809628,0.586046284,34,45.42618695,330.7462463,64.11089065,1.411320099,1.411621094,11.37328339,29.67648315,44.45046234,332.1578674,0.469725062,0.716963601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10484,AMIGACarb_Chiap_Campeche_Apr2013,s484,0.238245388,0.254128414,16,79.73829431,126.9098132,35.63535181,0.446903864,31.75117751,58.6610564,76.3178296,101.5880275,158.6609907,0.193047688,0.340749115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382271271,0.407756022,16,37.42612553,140.9056396,32.22281116,0.860971065,2.380523682,24.48381805,31.55007172,47.9527607,143.2861633,0.255047852,0.62181438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10501,AMIGACarb_Chiap_Campeche_Apr2013,s501,0.216339279,0.218172663,119,159.104545,250.2385949,60.26087484,0.378750179,21.37062896,109.0788546,161.8170215,208.238646,271.6092238,0.193668621,0.249462302,0.227894535,0.245424884,14,2118.124927,2597.134288,877.2966866,0.414185526,877.2889343,1402.262149,2140.725355,2647.721534,3474.423222,0.178844609,0.321601239,0.255917744,0.275603724,14,519.2232325,789.0259233,241.0799152,0.464308798,123.6661409,389.5285759,507.0615893,684.5967301,912.6920642,0.20216786,0.415256686,0.509196635,0.513511861,119,41.64980185,390.4223347,48.46667063,1.163671097,1.269950867,11.43158722,25.82095337,54.11591911,391.6922855,0.463982757,0.59967813,0.556938749,0.599780191,14,724.8835869,3377.088242,893.2481794,1.232264319,12.46154594,172.3783455,367.3957481,952.3985367,3389.549788,0.467617208,0.751556929,0.467475737,0.503435409,14,197.3034942,800.8609905,212.6629324,1.077846762,16.31980705,87.20816469,120.1014233,195.2899881,817.1807976,0.363029711,0.653918569
10502,AMIGACarb_Chiap_Campeche_Apr2013,s502,0.305166886,0.307039076,164,126.3024755,253.9669704,68.25264365,0.540390387,20.23931033,72.3917554,114.2710877,169.0768563,274.2062807,0.281203687,0.339705687,0.408606958,0.431307345,19,1324.231704,3257.537087,1045.775511,0.789722454,236.9788968,567.5583211,840.7882919,1766.69392,3494.515984,0.37823284,0.5233411,0.479585484,0.506229122,19,381.8669525,1397.665186,371.2085032,0.972088579,33.83760786,147.3703411,214.9395149,510.0451535,1431.502794,0.426139659,0.641816,0.584624829,0.588211485,164,34.84982873,261.0662918,44.58551067,1.279360969,0.505718231,7.39854908,16.49821091,44.67140293,261.57201,0.553423471,0.638736996,0.615952071,0.650171631,19,434.5097594,2995.25911,690.1390854,1.58831665,3.834255219,108.6974754,214.7855186,472.9062405,2999.093365,0.473258015,0.786654356,0.756051076,0.798053913,19,203.627628,2309.865772,518.902588,2.548291669,2.05633003,16.76127133,63.80352783,133.0216541,2311.922102,0.565706615,0.91167696
10503,AMIGACarb_Chiap_Campeche_Apr2013,s503,0.333204393,0.335223814,166,82.87579569,245.6772675,51.90036116,0.626242689,20.19476405,41.90317974,74.5225043,108.7618549,265.8720315,0.306013151,0.367327149,0.349253383,0.378357831,13,1209.932122,2418.635394,790.9471074,0.653711967,249.7567475,570.7831578,911.69397,1747.112075,2668.392141,0.313313058,0.493899212,0.347093146,0.376017575,13,275.509043,763.362399,208.7860942,0.757819387,94.57907216,161.9247289,197.5621623,302.3650782,857.9414712,0.252688523,0.491758167,0.64687076,0.650839292,164,38.19251642,575.0503693,69.48387355,1.819305981,1.176841736,6.762069702,15.58053589,42.76698875,576.227211,0.595305065,0.726753969,0.630778037,0.693855841,11,924.4705169,4790.858627,1408.32775,1.523388496,49.73072815,176.7988319,300.7259445,1032.078154,4840.589355,0.564963598,0.837214316,0.698056958,0.756228372,13,237.2823598,1706.497505,460.3520678,1.940102367,10.97653961,30.64652252,49.69844055,222.4481354,1717.474045,0.577012693,0.891465194
10504,AMIGACarb_Chiap_Campeche_Apr2013,s504,0.341959183,0.344317522,146,79.43882242,248.4105333,52.40795602,0.659727252,21.20151698,40.973158,65.82384911,104.0996687,269.6120503,0.316254912,0.379695117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578938866,0.582931548,146,13.19350318,98.71574402,17.93867488,1.359659723,0.714927673,3.444604874,6.575218201,13.66788673,99.43067169,0.534305305,0.632685569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11449,AMIGACarb_Chiaps_1_Apr2013,s449,0.272314387,0.280323634,35,74.38518709,167.4496875,39.94282055,0.536972778,27.30828061,48.53786143,60.84178492,86.46742083,194.7579681,0.227544231,0.348466374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514426228,0.529556411,35,36.38315342,148.7601013,38.67325323,1.062943961,0.225189209,11.40653992,19.4981842,40.4302063,148.9852905,0.471197802,0.623072153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
